text	status
为什么 会 有 这样 的 赖皮 出现 ， 因为 耍赖 在 国内 真的 有用 。 高铁 占座 男 不 也 无可奈何 ？ 当时 乘警 要是 像 瑞典 警察 一样 直接 抬 也 要 抬出去 才 是 真的 维护 了 正义 和 人权 。 或者 ， 如果 是 一个 老外 赖 在 酒店 ， 酒店 就算 吃 了 豹子胆 了 自己 报警 ， 结局 大家 也 能 猜 到 了 吧 。 什么 是 奴性 ， 这 就是 ！	OK
以后 干脆 都 改名 叫 义气 法 义气 ⭐ ️ 时刻 加紧 爱国 步伐 弘扬 社会 正 能量 口号 就是 ： 坚决 不 搞 前 队友 ！ 坚决 不 蹭 其 热度 ！ 把 刀 收好 不 乱放 ！ 坚决 不 插 前 队友 ！	B
大学 时 感兴趣 的 几个 研究 方向 — — 竞争法 、 国家 领土 争端 、 国际贸易 、 国际 人权 ， 现在 看来 都 不是 很 喜欢 ， 唯一 依旧 兴趣浓厚 的 就是 宪法 、 中央 与 地方 政府 治理 以及 政治 流派 与 社会 分层 。 现在 特别 想 去 港 科大 的 social science / public policy ， 方向 十分 match ， 课程 也 很 喜欢 ， 但是 在 香港 啊 ... 另 一个 location / network / reputation 都 特别 好 的 IHEID ， 但是 专业 是 international law / international affairs ， 不是 很 喜欢 啊 。 真的 难受 ， 不 知道 怎么 选 。	B
设计师 在 主场 还要 乱来 ， 而且 都 箭在弦上 ， 真的 怀疑 他 是不是 特朗普 假装 的 啊 … 真的 苦 了 中国 公关 team ， 从 几个 月 以前 就 开始 邀请 ， 各种 明星 各种 kol 合作 。 忙 到 今天 ， 本来 以为 马上 要 解放 了 ， 等 来 一个 百年一遇 的 特大型 公关 事故 还要 继续 忙 上 加忙 。	OK
快鱼 快报 【 我国 空置房 超 6500 万套 哪些 城市 风险 大 ？ 快鱼 快报 】 快鱼 快报 研究 机构 的 报告 显示 ， 中国 住房 空置率 为 21.5% ， 仅 低于 西班牙 和 意大利 ， 高过 全球 多数 国家 。 而 这些 空置 住房 占用 了 超过 10 万亿元 的 信贷 资源 ， 既 浪费 了 贷款 资源 ， 也 蕴含 了 金融风险 。 话题 学院 在 房价 下跌 时 ， 若 大量 空置 住房 集中 入市 ， 必然 对 住房 市场 造成 冲击 。 O 我国 空置房 超 6500 万套 哪些 城市 风险 大 ？	B
特朗普 一直 有 一个 阴谋 ， 就是 让 美国 取代 欧佩克 成为 全世界 油价 的 控制者 。 因为 现在 的 情况 不 一样 了 ， 因为 页岩 油 技术 的 出现 ， 美国 已经 成为 了 全球 第一 大 原油 和 天然气 生产国 、 出口国 ， 这个 时候 美国 就 想着 要 掌握 全球 原油 的 定价权 。 摆在 美国 面前 最大 的 敌人 就是 欧佩克 ， 成员国 有 沙特 、 伊拉克 、 伊朗 、 科威特 、 阿联酋 、 尼日利亚 、 委内瑞拉 等 15 个 国家 ， 这些 国家 联合 起来 ， 对 全球 石油价格 有 很大 的 影响力 。	OK
特朗普 首次 就 孟晚 舟 事件 表态 你 彻底 暴露 了 你们 老美 在 忌惮 中国 ， 这次 手段 真的 甚 是 卑劣 。	OK
《 天朝 渣 男 图鉴 》 又 被和谐 了 ， 还好 先 下载 didi 版 备份 。 别的 先不说 这个 改编 可太 他 妈 好听 了 ， 好 听到 我 立即 买 了 芝加哥 上海站 的 票 … …	OK
中国 联合国安理会 轮值 主席 特朗普 要 不要 考虑一下 退群	OK
抓捕 加拿大 外交官 是 一步 臭棋 ， 因为 这 家伙 的 价值 远不如 华为 大 公主 。 赵括 马谡 之流 再 瞎折腾 ， 给 台湾海峡 引来 三个 航母 战斗群 ， 90 天 过渡期 一夜之间 作废 ， 全部 中国 商品 立即 百分百 关税 ， 北京 的 大 手掌 会 亲自 给 瞎折腾 的 瓜蛋们 戴 上 大红花 并 送 上 光荣榜 。	B
杰克 马 的 党员 身份 在 外面 引起 这么 大 关注 ， 是 我们 统战工作 的 一个 瑕疵 。 举个 例子 ， 1938 年 抗战 开始 后 不久 ， 多年 的 秘密 党员 郭沫若 同志 找到 周总理 ， 说 抗日民族统一战线 已经 形成 了 ， 自己 应该 恢复 党员 身份 了 。 周总理 说 ， 你 保持 党外 的 身份 ， 对党 的 贡献 更大 。 所以 这 一拖 就是 20 年 ， 郭老以 民主人士 的 身份 在 外交 ， 文艺 和 统战工作 上 发挥 巨大作用 ， 直到 58 年 反右 之后 ， 才 登报 向 全国 人民 报告 了 自己 的 党员 生活 。	B
文学 老师 在 打 了 一 学期 嘴炮 以后 终于 说出 了 本学期 最 让 我 震惊 的话 ： “ 我 最 反感 的 就是 每年 春节 央视 的 公益广告 ， 我 不 明白 一群 人 挤破 了 头 要 回家 有 什么 意义 。 ” 相反 ， 我 非常 欣赏 央视 拍 的 公益广告 ， 尤其 是 有关 家庭 ， 亲情 的 。 每年 寒假 ， 关于 回家 过年 的 广告 都 拍 的 十分 令人 动容 。 中国 人 骨子里 的 传统 就是 团圆 。 所以 游子 不管 离乡 多远 在 团圆 时刻 才 要 都 要 回家 团聚 。 所谓 家国 就是 有家 才 有国 。 不 懂 是 我 性格 还是 偏 保守 还是 文学 老师 太 先锋 。 反正 这件 事 懂 了 一个 道理 ： 学 的 是 人文学科 ， 老师 的话 ， 你 不能 全听 。	B
“ 知识分子 对 民主 国家 的 缺失 毫不留情 ， 却 对 那些 以 冠冕堂皇 的 理论 的 名义 所犯 的 滔天大罪 予以 宽容 。 ”	OK
胡歌 想 看 胡歌演 一次 像 《 平凡 的 世界 》 《 你 是 我 兄弟 》 《 情满 四合院 》 这样 题材 的 电视剧 ， 最好 新民主主义 社会 社会主义 改造 文革 改革开放 这 几个 阶段 都 包括 了 。 不知 为啥 特别 迷 这种 题材 的 剧 ， 当年 的 《 傻春 》 也 很 喜欢 看 了 好几遍	OK
放弃 孟晚 舟 ， 就是 放弃 中国 的 未来 ！ O 放弃 孟晚 舟 ， 就是 放弃 中国 的 未来 ！	B
